Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Bicc1,Plekhj1,Calu,R3hdm2,Ten1,Srsf2,Tifa,9530068E07Rik,Sarnp,Fgfr1op2,Tap2,Mapk3,Hnrnpm,Gch1,Pitpnc1
Pdia4,Raly,Rab12,Cox5b,Ppp4r2,Rnf2,Parp8,Tgfb1,Spats2,Atp5e,Abt1,Atrn,9330159F19Rik,Fundc2,Kif2a
Nebl,Psmg4,Svil,Hspd1,Eif3b,Nuak2,Sdccag8,Acbd5,Akirin2,Iscu,Pycard,Stxbp6,Zfr,Mrpl52,Rnf4
Gria2,Vgll4,Fkbp1a,Fxr1,Rpl21,Vapa,Mbtd1,Ptbp1,Rps19,Epn1,Orai1,Glo1,Usp16,Dennd1c,Atg12
Tnik,Filip1l,Dnajb9,Emc2,Mrps14,Frmd4b,Tpm3,Hexim1,Atp5f1,Otub1,Syf2,Ankrd46,Snw1,Rpa2,Nol7
Cdc14a,Tcf12,Limch1,Hes1,Capns1,Naa50,Mob1a,Cyc1,Snrnp70,Ist1,Camk2n1,Dock9,Hook3,Atp5c1,Isca1
Spag1,Pcna,Zfp36,Rpl32,B4galt1,A630001G21Rik,Rnh1,Hp1bp3,Npdc1,Nsd3,Rbbp8,Ckap5,Bicd1,Nmi,Idh3b
Ncam1,Sin3b,Sri,Ube2e1,Slc49a4,Bcl10,Celf2,Galnt1,Spata7,Snrnp200,Tra2b,Dock10,Prpf19,Idnk,Matr3
Pawr,Mplkip,Chchd2,Rdx,Atp6v1c1,Ankrd44,Tor2a,Cirbp,Stxbp1,Itsn2,Uqcrfs1,Ppp2r2a,Smc6,Mrpl57,Smc6
Ropn1l,Atp11b,Myo1c,Prpf4b,Cyth1,Ubash3b,Was,Gtf2a2,Mad2l2,Becn1,Vps28,Jph4,Sdf2,Def6,Rpp21
Atp1b1,Micos10,Rpl38,Mapre1,Slc31a2,Agmo,Nfil3,Ing1,Rtn4,Ankrd12,Cirbp,Tanc1,Crebbp,Prr7,Nap1l4
2700046G09Rik,Birc2,Tmem140,Ccar1,Rrbp1,Nhlrc3,Rbbp8,Ddb1,Ranbp1,Mga,Dap,Actr1a,Bmt2,Plscr1,Use1
Npas3,Lmo4,Hdac7,Tmem123,Tmed2,Btaf1,Hilpda,Eif5a,Ddx17,Sub1,Idnk,Nectin1,Polr2j,Sorl1,Plekhj1
Eva1a,Etfb,Cdkn1c,Ankrd17,Fnip1,Cryl1,Apaf1,Trim44,Kcnq1ot1,Rbms1,Fam204a,Trappc10,Proser1,Bin2,Alkbh1
Fam227a,Phf5a,Sav1,Cxcl12,Nsa2,Txnip,Ndufb1-ps,Lsm14a,Satb1,Prdm2,Hcls1,Metrn,Stox2,Sf3b5,Dcun1d5
Leng8,Zup1,Smad1,Ndufb4,Hnrnpf,Rbm39,Sowahc,Pdcd5,Glrx2,Sra1,Nin,Aktip,Txndc15,Sem1,Cenpx
Dab1,H2-M3,Baiap2,Smu1,Ell2,Fuca2,Anxa6,Ube2b,Mrps5,Nipa2,Gng2,Dnajb14,Ndufc2,Anp32b,Eif4a2
Ift20,Smarce1,Acadl,Psma1,Arhgap30,Gm47664,Cd300a,Nup98,Snrpc,Erbin,Tmem243,Igsf11,Ddx54,H2-M3,Cox14
Gng5,Atp5h,Nbdy,Ash1l,Cox5a,H2-K1,Rab8b,Cnn2,Lmo4,Gps2,Tpr,Elmsan1,Zfp652,Sipa1l1,Usp47
mt-Nd5,Nfkbid,Ucp2,Sem1,Irf8,Gm10138,Ostf1,Sfpq,Gtf2h5,Surf4,Mrpl4,Olfml1,Phf3,Rtraf,Rasa3
6330403K07Rik,Dazap2,Smpdl3a,Arid4b,Cmtm7,Pik3cb,Cotl1,Ap2m1,Siah1a,Gadd45b,Tbca,Sgcb,Zfp608,Cd47,Ptpn2
Odf2l,Npm3,Rpl8,Lims1,Rpl15,Arpc1b,Emilin2,Gtf2h5,Pou2f1,Ifnar2,Psme2,Pigz,Hnrnpk,Sash3,Scfd1
Myl9,Exosc3,Fryl,Rpl28,H13,Dyrk2,Limd1,Magoh,Rgs12,Ppp1r12a,Ifnar1,BC031181,Gtf2i,Arl4c,Osbpl9
Anxa2,Arf5,Tanc1,Rpl36a,Vps26a,Limd2,Dennd1c,Atp5j,Etv1,Rela,Lasp1,Kcna6,Hdgfl3,Metrnl,Arih1
Nat14,Grcc10,Fam129b,Mtch1,Rpl4,Fes,Ctnna1,Chmp4b,Fopnl,Osbpl9,Fam49b,Rsrp1,Emc3,Ramac,Csnk1g2
Slc1a4,Gm26917,Ginm1,Gadd45g,Timm23,Aftph,Myo5a,Smim15,Cep70,Ensa,Slc25a3,Gdi1,Oga,Akna,Sf3b3
Iqgap2,Ppp3ca,Itpripl2,Zfp326,Ufm1,Relb,Nabp1,Stag2,Snhg5,Sdcbp,Timm17b,Selenok,Carnmt1,Actr3,Dennd1b
Tsc22d1,Hypk,Pam,Atp5g3,Eif4e2,Zfp652,Psmb10,7-Sep,Plcb4,Lman2,Ssbp2,Map6d1,Metrn,Foxo1,Slc25a3
Morn2,Pcif1,Elk4,Znrf1,Lamtor1,Rpl10,Tap2,Chchd2,Acat1,Dld,Topors,Snapin,Tgfa,Rp9,Trappc6b
Taco1os,Hivep1,Rassf3,Abhd2,Sod1,Zeb2os,Zfp106,Cycs,Tnrc6c,Gls,Sec61g,Map4k5,Magi2,Ppib,Tma7
Mfge8,Cdkn1b,Dusp3,Mkln1,2610001J05Rik,Sdf2l1,Dnajc2,Ahcyl1,Cct3,Chd2,Tatdn2,Cipc,Gsk3b,Gm20186,Dock8
St8sia1,Cct5,Mcl1,Cct7,mt-Co3,Btk,Map2k3,Pcna,Cox7a2,Tab2,Fermt3,Ahcyl1,Ahsa1,Itpr1,Supt4a
Ptprf,Luc7l2,Ctnnd1,Klf7,Myh9,Atp6v1c1,Klhl6,Stag1,Tmeff1,Gtf2f1,Foxp1,Ift43,Cpsf7,Ikzf1,Fbxw2
Lix1,Uchl3,Rnf103,Pcbp1,Nfam1,Tbc1d22a,Ppp1r18,Ptk2,Magohb,Csnk1d,Olfm1,Dctn1,Atg12,Irf7,Zfp644
Fabp7,Zmynd8,Rac1,Ndufa11,Mxi1,Tor1aip1,Tent5c,Ube2k,Afap1,Leprotl1,Gng5,Dennd5b,Bod1l,Rnaseh2c,Sf3b6
Msmo1,Alkbh1,Btbd7,Tnpo3,Rpl5,Zfp710,Birc3,Fam193a,Phf6,Bcl2a1b,Lsm8,Ipo13,Dync1i2,Bag1,Rcsd1
Rian,Cox6b1,Xiap,Fam76a,Aggf1,Cdk14,Orai1,Srek1,Nicn1,Ndufa1,Cox7b,Nf1,Ddost,Mllt3,Cdc40
Ptpn13,Tomm20,Vamp5,Clint1,Cul3,Commd8,Gfer,Cwc15,Eif4g2,Cdc40,Prpf4b,Pcdh10,Adnp,Tomm20,Akap8l
Oplah,Mdm4,Lmna,Cyb5a,Bach1,Naga,Relb,Xrn1,Cadm4,Chka,Ikzf1,Pde6d,Pink1,Cox4i1,Aqr
St8sia2,Slc25a36,Eva1b,Rpl36,Taf10,Mknk2,Bcl7c,Pbrm1,2410002F23Rik,Ccnl2,Prelid1,Megf10,Rab5c,Mknk2,Dyrk2
Carmil1,Mrpl18,Pik3ip1,Hadhb,Cd84,Cops4,Atp5g2,Ssrp1,Zfp579,Upf1,Hnrnpa0,Ppia,Apc,Atp5md,Aebp2
Htra1,Cntrl,Plcg1,Pde4b,Nr4a1,Prcp,Tmem258,Hectd1,D030056L22Rik,Glyr1,Tap1,Ybx3,Rnf10,Mdp1,Scp2
1810010H24Rik,Atp5md,Lysmd2,Rpl35,Map2k3,Tapbp,Grk2,Ndufb7,Tulp4,Itgb2,Adss,Pithd1,Rraga,Mkrn1,Stt3b
Cdh2,Cd83,Trak2,Dnaja1,Psmb10,Ints6l,H2afj,Gatad2b,Carhsp1,Tox4,Mef2d,Zdhhc9,Tmed7,Eno1,Magoh
C1qtnf4,Stx8,Enc1,Hsp90b1,Prkcd,Mfsd11,Snrpe,Mbd2,Adnp,Arhgap45,Kif21b,Ndufv2,Cacybp,Cdkn1b,Rab18
mt-Cytb,Ppm1g,Ndufa7,Pan3,Psmd8,Dgkd,Tiparp,Setd2,Mapk8,Pgam1,Arhgef6,Cdc42ep1,Denr,Bex3,Casp8ap2
Nme7,AY036118,Tpt1,Dnajb11,Tomm6,Naip2,Tmem179b,Rtf1,Phax,Mob4,Dock11,Ralbp1,Ccar1,Izumo4,Ppil4
Rfx2,Psmb10,Rpl9,Atrx,Grb2,Lasp1,Dctpp1,Pnpla8,Ttc39c,Ier3ip1,Sft2d2,Dctn2,Atp6v0e2,Snhg8,Wbp11
Bace2,Tmpo,Strn3,Hnrnpab,Ikbkb,Plod3,Rassf5,Vamp2,Trp53bp1,Mgst1,Dpm3,Pnkd,Klhl9,Pitpnc1,Sltm
Wdr90,Rsbn1l,Capg,Psmd11,Siva1,Alg5,Rab8a,Prrc2b,Rfx3,Cdc73,Nop10,Plxnb3,Ssb,Cks2,Leng8
Ift80,Tmem14c,Txn1,Atp5mpl,Rabgef1,Nupr1,Pcbd2,Pcmt1,Lsm3,Tpm3,Fam32a,Rnf130,Eif4g2,Srp9,Frg1
Rcn2,Cox16,Map4k3,Chmp5,Cab39,Ythdc1,Sla,Gtf2f1,Cers4,Atf2,Usp48,Tmem59,Mydgf,Cox5b,Lbr
Pank1,Slbp,F11r,Ywhaz,Map3k8,Trim8,Taok3,Trip11,Cdk2ap1,Akt1,Usp19,Pak7,Glyr1,Ncf4,Nap1l1
4430402I18Rik,Ndufa2,Dag1,Lipa,Atp6v1h,Htra2,Sms,Gapvd1,Zfp638,Dstn,Bola3,Rab21,Kdelr1,Selenoh,Fbl
Tusc3,Cbx3,Rora,Sparc,Polr1d,Arid1a,Ikzf1,Ep400,Rtf1,Bhlhe40,Atp5mpl,Csnk2a1,Ube2h,Ccdc12,Stim1
4930402H24Rik,Swi5,Chmp3,Glg1,Grk2,Arpc4,Plaur,Xiap,Trim33,BC005624,Ptbp3,Npdc1,Ric3,Inpp1,Acbd6
Plec,Krtcap2,Dusp6,Uqcr11,Pold4,Nufip2,Itgam,Luzp1,Rfx7,Tle3,Rap1b,Ninj2,Larp4,Nap1l1,Rab3gap1
Nim1k,Fam204a,Nedd4,Alkbh5,Litaf,Acp2,Snrpf,Hnrnpa2b1,Fjx1,Azi2,Rapgef6,Frmd8,Pid1,Crot,Srsf6
Wwtr1,Rapgef6,Msi2,S100a6,Gde1,Nagpa,Eif5a,Strap,Cetn3,Nsrp1,Srsf5,Tmem19,Sel1l,Tmem167,Mat2b
Fam13a,Cisd2,Pitpna,Cwc15,Nfkbid,Dst,Serp1,Ndufa6,Idh1,Rnf4,Stk11,Elovl1,Fzd3,Ttc7,Mphosph10
Cp,Tgif1,Eps8,Matr3,Dnaja2,Wnk1,Nhp2,Smc6,Magi1,Prex1,Tsc22d3,Mrpl20,Paxbp1,Esyt2,Bcas2
Dtx1,Atp5f1,Gstm1,Mrpl57,Cox5b,Fnip1,Tspan13,Dynlt3,Mboat2,Calm3,Cap1,Ptk2,Rif1,Atp11b,Tnrc6c
Pnmal2,BC005624,Zfp422,Imp3,H2-DMa,Ifnar2,Lactb,Ndufa5,Brd8,Tmcc1,Rbpms,Arl8a,Nfu1,Hip1r,Sipa1l1
Farp1,Dock8,Btg2,Aamp,Snx20,Rptor,Soat1,Son,Rpl10a,Ezr,Atp5j2,Snx15,Ulk2,Zyx,Snrnp48
Fam181b,Dnajc8,Bcl2l1,Stt3b,Lamtor2,Saraf,Ifi204,Timm17a,Zfp81,Vps26a,Chfr,Stambp,Lamtor2,Bcl2l11,Rnaseh2c
Cluap1,Slc25a3,Cttnbp2nl,Cast,Fam120a,Rps29,Mrps18c,Ccdc59,Zfp354c,Trip12,Cwc25,Mrpl48,Utp14b,Mcm6,Wdr43
Enho,Bcl10,Isg15,Scp2,Abi1,Cflar,Ybx1,Ddx1,Rpl38,Chd1,Nudt21,Fktn,Prxl2a,Ube2i,Aprt
Pax6,Ddx5,Cnot6,Timp3,Stx7,Flot1,Havcr2,Fos,H2afy,Got2,Tomm5,Fam189a2,Akap9,Ptk2b,Tiprl
Hipk1,Ndufb7,Rps6,Sec61a1,Med15,H2-T23,Hk2,Sertad1,Itsn1,Lrp10,Ppil2,Slu7,Ankrd11,Rab8b,Klhdc2
Gm3764,Ak2,Sod1,Sptlc2,Cfh,Cebpb,Glud1,Rasal2,Abi2,Ube2h,Nsmce4a,Cacnb4,Gm3764,Carnmt1,Kat6a
Atp2b4,Irf2,Cttn,Pdcd6ip,Nipa2,Cux1,Pqlc1,Vapb,Rcn2,Smg1,Hist1h2ap,Ube2e2,Tmem41b,Grk2,Rc3h1
Khdrbs3,Nipbl,Mfge8,Sf3b5,Snx10,Tlr13,Ube2f,Stub1,Klc1,Rbm5,Dusp11,Impad1,Polr2f,Clint1,Rbis
Scrn1,Atp5o,Tmsb10,Slc41a1,Pabpc1,Vamp8,Actb,Srrm2,Vezt,Tspyl1,Fli1,Fah,Ubr2,Avl9,Larp1
Cald1,Psma3,Sh3glb1,Akr1a1,Nhp2,Sde2,1810058I24Rik,C1d,Dnaja1,Srpk2,Cycs,Cyp51,Cdh2,Gng5,Zfp330
Gpx4,Tia1,Btg3,Eef2,Tank,Il21r,Kxd1,Gnb1,Mtf2,H13,Lamtor2,Mxd4,Dnajb14,Ndufb7,Gpbp1
Ccdc88c,Eny2,Ybx3,Tex261,Isg15,Hcls1,Dennd1b,Wbp11,Gpatch8,Magoh,Arhgap30,Asrgl1,U2surp,Ndufb11,Las1l
Trpm3,Srsf5,Tmem123,Zc3h7a,Snf8,Bri3,Rcc2,Capns1,Midn,Ccz1,Map1lc3b,B4gat1,Spcs1,Pld3,Sdf4
Lxn,Abcg1,Nampt,Birc6,Cnih4,Cd48,Ndufa1,Ube2d3,Ube3a,Rictor,Hypk,Ccdc88a,Taok1,Slc9a3r1,Tob2
Mpdz,Rnaseh2c,Plekhg1,Ywhah,Akt1,Ppp1r14b,Capg,Srsf7,Rpl36,Ss18,Cdk11b,Fbxo31,Brd8,Fam129a,Birc6
Efemp2,Pcbp2,Zfand2a,Glrx5,Snx5,Zfp90,Cmtr1,Rsrc1,Usp3,Top1,AY036118,Tmf1,Arf5,Ost4,Dnaja2
Hacd2,Dph3,Chic2,Lgals1,Ccdc12,Klk8,Plin2,Swi5,Meis1,Mdm2,Rora,Tef,Eif2s3y,Vps28,Arih2
Asrgl1,Ptpn6,Cds2,Ebna1bp2,Foxn2,Khk,Vars,Rcn2,Ube2i,Eif4ebp1,7-Mar,Acap2,Zfp106,Nudt21,Snhg12
BC005624,Smg1,Purb,Srp9,Mrpl23,Noc2l,Myl6,Chmp2a,Rpl7,Chmp5,Mrpl9,Mapk8ip3,Zmynd8,Dynll1,Birc3
Ocln,5031425E22Rik,Capns1,Kif2a,Rgs2,Mbnl1,Hscb,Trip12,Hnrnph1,Ppp2r1a,Kxd1,mt-Cytb,Nap1l4,Arpp19,Cct2
Mipep,Lncpint,Fam117b,R3hdm1,Got1,Trio,Psmg4,Ppm1g,Kif21a,Polr2a,Ndufa13,Vamp7,Erh,Nfatc3,Rnaset2b
Gas2l1,Hnrnpc,Fbxw2,Rab1b,Phlda1,Slc23a2,Dusp22,Api5,Sap30,Cir1,Cnot6l,Paqr8,Tmem222,Btg3,Fam32a
Nxn,Tmod3,Spag9,Tmem176b,Ndufa6,Plekho2,Lrrc8d,Uqcrc1,Ntmt1,Ccdc174,Ptpn2,Snx1,Atrx,Rap1b,Zcchc7
Layn,Ndufa7,Cpt1a,Tmem147,Ptpn6,Adprh,Ldha,Smndc1,Cyth2,Spty2d1,Ttc19,Nacc2,Cetn3,Atp5g3,Serf2
Ckap5,Bola3,Trim56,Csnk2b,Pdia6,Rela,Tapbp,Pja2,G2e3,Cnppd1,Cox5b,mt-Nd4,Dek,Snx20,Twistnb
Zic1,U2af1,Zeb1,Snrpd1,Ostc,Rab43,Ctnnbl1,Rad21,Snrpd2,Lsm14a,Gm42418,Smim15,Eif3c,Mri1,Ppm1g
Calm1,Twistnb,Plaur,Eef1d,Klf4,Slc12a9,Rp2,Kmt2c,Cbx8,Fau,Cox7a2,Dnajc19,Atxn2l,Gpr65,Cdk13
Sobp,Klf10,Adipor2,Exoc5,Prdx1,Ctbp2,Bccip,Nenf,Rpl7a,Ankhd1,Baz1a,Tmed7,Ndufs3,Mrps24,Rchy1
Krt18,Celf2,Rdx,Atp1a1,Lamtor5,Vegfb,Mical1,Psmc3,1500011B03Rik,Ftl1,Arpp19,Cadm2,Dad1,Hint1,Rasa1
Wasf3,Acin1,Dennd5b,Sp3,Dnase2a,Npm1,Cks2,Txn2,Gtf2ird1,Ppp4c,Mrpl58,Ptprf,Ankrd12,Mrpl58,Gpbp1l1
Cavin1,Psmd8,Tspo,Cox7a2l,Mapk1,Sh3bp1,Zfp263,Amfr,Psmc6,Map2k3,Abr,Tmcc2,Glrx3,Anp32a,Bdp1
Lmo4,Rest,Akr1a1,Xiap,Glrx5,Chd7,Zmiz2,Herc1,Ccar1,Gatad2a,Zfp622,Rab2a,Spcs2,Svbp,Tmem123
Frmd6,Pa2g4,Zmiz1,Mef2d,Ptp4a2,Fchsd2,Kdm7a,Tpi1,Tmem108,Mtpn,Capza1,Amd1,Tomm5,Psmb3,Atp5l
Fbln1,Rab21,Map4,Irs2,Etf1,Fmnl1,Rgs2,Rab1a,Ubn2,Klhl24,Rhoh,Hsd17b10,mt-Nd2,Tapbpl,Arl6ip5
Ccdc181,Lmnb1,Shisa5,Cops2,Pik3ap1,Tec,Stx7,4932438A13Rik,Snapc3,Mef2a,Ube2d3,Rnd2,St13,Tomm5,Raly
Macrod1,Uqcrq,Rpl15,Nop53,Fam50a,Mapre1,Id2,Eif1ax,Csnk1a1,Morc3,Atp5g2,Dnm2,4833439L19Rik,Lrmp,Gpi1
Ralgps2,Kmt2e,Ppp1r13b,Tma7,Psmc4,Sipa1l2,Ccr5,Crebrf,Pou6f1,Tnpo3,Chkb,Pebp1,Safb,Gtf2i,Pik3ip1
Selenbp1,Ndufa4,Txnip,Eif2s1,Tomm20,Stat6,Tnip2,Srsf2,Bcas2,Aurkaip1,Avl9,Plekhf1,Slc1a1,Lncpint,Utp14a
Tsga10,Mrpl34,Nrbp1,Ube2i,Tgm2,P2rx4,Cox4i1,Aldh2,Rps4x,Tmem248,Ndufb7,Aamdc,Hadhb,Csnk2b,Lsm3
Agbl3,Timm13,mt-Nd4,Api5,Myl6,Tnfsf12,Ms4a6d,Cox6c,2610008E11Rik,Spg21,Cdc37,Pex2,Raf1,Fbxl12,Scand1
Dchs1,Arpp19,Trappc6b,Appl1,Ik,Atf6,Csk,Map1b,Cplane1,Kmt5b,Elob,Ctbp1,Sumo3,Ifnar1,Nsmce4a
Cxadr,Rbis,Spr,Elavl1,Mrpl57,Slc1a3,Sbno2,Tcf12,Cct7,Zfp871,Krtcap2,Eif4h,Nae1,Ankrd11,Mrpl21
Ift122,Kmt2a,Anks1,Crim1,Sdhb,Cdc42,Gosr2,Actr10,Tmem223,Bcl2l1,Phf3,Sbds,Ndrg3,Rwdd1,Prpf4b
Adgrl1,Myl12b,Sbno2,Rpl39,Mt1,Fbl,Prr13,Tmx3,Rbm4,Smad4,Mrpl57,Cdip1,Ubtf,Plekha2,Dda1
Pir,Tpr,Ctdsp2,Polr2j,Msl1,Adam17,Actn1,Tasor,Tceal8,Rbm33,Maff,Alcam,Ap2a2,Tgfbr2,Ep400
D3Ertd751e,Ube2b,Tgfbr2,Snhg6,Ptpn12,Rnf111,Bin3,Akirin2,Rps11,Poldip3,Nfkb1,Tspan5,Atp5j,Dnajb6,Prrc2b
Vim,Galnt11,Zbtb10,Sptssa,Klhl6,Rab1a,Plekhf2,Wdr45b,Timm8b,Mff,Polr2a,Hip1,Asap2,Cntrl,Cript
Nedd4,Chchd1,Trim47,Copb2,Cast,Tubgcp5,Bola2,Hnrnpul2,Jarid2,Pten,Smchd1,Gnptab,Ankrd28,Ssbp4,Mrpl58
Mycbp,Rilpl2,Rapgef2,Eprs,Pfdn5,Pla2g4a,Utp18,Gmps,U2surp,Atf6,Ube2a,Smim13,Abhd17b,Hist1h2ap,Diaph1
Tmem17,Cycs,Ubc,Vps37a,Atp5j2,Peli2,Exosc5,Mark3,Celf1,Nr1h2,Usp3,Fnta,Snrpd1,Rtp4,Ahctf1
Tbc1d32,Psma5,Hip1r,Rfc1,Cops9,Rbpj,Grb2,Dnajc8,Hjurp,Tapbp,Baz2a,Psd3,Ddhd1,H2afz,Churc1
Dag1,Hmgn5,Hivep1,Hnrnpf,Fkbp2,H2-D1,Ccdc12,Psmb6,Phf14,Ngdn,Smc6,Cdkl5,Cd81,Nop10,Usp15
Nectin3,Mrpl43,Pak1ip1,Tnrc6a,Tmem251,Tspan13,H2-Q4,Naa15,Cct6a,Arhgef1,Fmnl1,Nckap1,Ptp4a2,Fis1,Swt1
Tctex1d2,Rbm8a,Gm10076,Pfdn1,Nsf,Plekhm2,Pcgf5,Abi1,Rpl18a,Arid4a,Fgfr1op2,Cttnbp2,Ccnl2,Slco3a1,Angel2
Rdh10,Rasa3,Usp6nl,Ppp1ca,Atp6v1g1,Mob1a,Arf2,Rassf1,Gprasp1,Bud31,Hmgb1,Ndufa5,Ube2r2,Dennd1b,Ss18
Myo7a,Atp13a2,Pop5,Calm3,Ewsr1,Eif4ebp1,Ifih1,Spred1,Nmt2,Cyth1,H2afx,Lmbrd2,Smarcc2,Acaa2,Lars2
Nrbp2,Ogdh,Nck1,Cops8,Dhx15,Tnfrsf1a,Ppib,Stat3,Dync1i2,Mtmr6,Becn1,Tgfa,Ccnt2,Sf3b6,Rb1cc1
Tacc2,Srsf6,Cox5a,Ccnt1,Il6ra,Il11ra1,Pik3cg,Ubn2,Ndufc2,Ccnt1,Arid5a,Trim35,Tcea1,Vamp8,Hnrnpul2
Camk2n1,Tmem167,Il6st,Sod1,Cox14,Hps3,Trim30a,Pum1,Tsg101,Nub1,Atp5g3,Mapre3,Phax,Slc20a1,Lnpep
Phtf1,Smc6,Rabac1,Paip2,Cox7a2l,Calm2,Spg21,Birc6,Dhx30,Il4ra,Med10,Gkap1,Aff4,Haus3,Dhx9
Sorbs2,Hspa14,Snx3,Qrich1,Psmd4,Tmem168,Srebf2,Zfp131,Ier2,Kras,Zc3h7a,Cox7c,Atp5g3,Ndufa2,Ube2h
mt-Nd4l,Cox5b,Eif1,Rps20,Szrd1,Git2,Msrb1,Pum2,Spast,Ndufa3,Cript,Sbf2,Akap8,Lamtor2,Ndufa1
0610009L18Rik,Ndufa11,Tbrg1,Baz1b,Ndufa12,Actr2,Fnbp1,Numa1,Kansl2,Ino80d,Ube2j2,Clic4,Mrps21,Actg1,Anapc5
Pfkm,Bcl2l11,Extl3,Mia3,Atf1,Slbp,Eva1b,Eif4g3,Zfp560,Crlf2,Dhrs7,Rassf8,Dtx3,Nr4a1,Pdha1
Hint2,Cenpx,Egln1,Tmem160,Eef1a1,Rgl2,Mrps15,Dpm3,Zfp386,Ube2a,Cdk2ap2,Enoph1,Hnrnpa0,Akr1b3,Smg1
Bdh1,Rbm17,Rhob,Atox1,Gch1,Cybc1,Cd274,Msl1,Zfp260,Ccni,Sun2,Lrrc58,Rab10,1810058I24Rik,Sod1
Wdpcp,Fkbp3,Lrch1,Ube2j2,Ppp1r18,Was,Osgep,Adprh,Mrps33,Cwc25,Ttc14,Apln,Atp5f1,Rnf213,Crtc3
Ogg1,Ndufb8,Arl6ip5,Atf6,Eif1a,Soat1,Tma7,Dicer1,Zfp608,Rcsd1,Mta3,Cd82,Srp19,Ppia,Stk11
Pcdh10,Arglu1,Slc3a2,Hspb1,Ywhab,Rogdi,Mdp1,Ube2s,Rpl29,Rsrp1,Fundc2,Pdlim1,Wbp11,Tmem134,Tomm20
Ccdc157,Mak16,Adipor1,Ddx21,Zfand5,Spata13,Mrpl57,Cdk9,Hnrnpa2b1,Arih1,Azi2,Calm3,Aup1,Tnik,Hsd17b10
Tst,Rnps1,Sec62,Trip11,Ncoa1,Cklf,Swap70,Csnk1g2,C2cd5,Rflnb,Emd,Kif3a,Cox8a,Cd82,Msl2
Fabp5,Dynll1,Sp100,Ginm1,Ube2q1,Spire1,Lsm5,Eny2,Pfdn4,Prkcd,Calm2,Zfp24,Ptprg,Orai1,Ncoa2
Mettl7a1,Frg1,Agfg1,Smg1,Fgfr1op2,Fgd4,Chp1,Ndufab1,Cuedc2,Rlim,1810058I24Rik,Elovl6,Cenpv,Dock10,Supt5
Cfap36,Rbbp6,Rin3,Mrps24,Tomm22,H2-DMb1,Epb41l4aos,Tnrc6b,Apc,Atp6v0c,1110008P14Rik,Hsp90aa1,Cops5,Tpm4,Cntrl
Hhatl,Pcgf5,Gm26532,0610010K14Rik,Mvp,Cerk,Hcfc1r1,Safb,Pak7,Dync1li1,Larp7,Rab33b,Cirbp,Churc1,Smim11
Shroom3,Mdh1,Gcc2,Yipf5,Psmd6,Srm,Pip5k1c,Egr1,Anks1b,Tcirg1,B3gnt2,Acaa1a,Nono,Ttc14,Itpr2
Pnisr,Ppp3cb,Lpp,Afdn,Psme1,Nfkb2,Scp2,Sorbs1,Dtymk,Dot1l,Bloc1s4,9330182L06Rik,Zwint,4932438A13Rik,Paip2
Pigp,Upf3b,Hpcal1,Cops6,Atp5f1,Plbd2,Map4k4,Gpatch8,Atp6v0e2,Ergic2,Sin3b,Thumpd1,Mrfap1,Ndufb9,Ccnt1
Fam161b,Smarcc1,Hmg20b,Naca,Ube2i,Srsf3,Bloc1s2,Ppp1r15a,Dstn,Crk,Spata13,Dscaml1,Akr1a1,Magoh,Srrm2
Srek1ip1,Tmem258,Dop1a,Pnpla8,Cdc42se1,Dtx4,Il4ra,Tinagl1,Ncoa5,Ascc3,Ndufa4,Ddx1,Bax,Chfr,Cacybp
Dzip1,Ptp4a2,Acox1,Tbca,Psen2,Cdk9,P2rx4,Ppp1r2,Fbxw7,Synj1,Serp1,Jakmip3,Neo1,Ube2s,Mdm4
Mir100hg,Cdk4,1810037I17Rik,Tspan13,Sp100,Ssbp4,Sdf2l1,Mdh2,Ube2v2,Pik3c2a,Cenpx,Hsd17b12,Ube2e2,Bola3,Chd6
Ssx2ip,Mier1,Fbxo3,Ndufb11,Bax,Suclg2,Il10ra,Ube2e1,Tbce,Kdm2a,Cox5a,Smim26,Phlda1,Ybx1,Sbno2
Ctnnd2,Rbm33,Dnaja1,Rpl10a,Cenpb,Zeb2,Gsdmd,Tob1,Rbm5,Swt1,Lpin1,Tmbim6,Aebp2,Aimp1,Eno1
Trps1,Siva1,Fosl2,Mydgf,Tbk1,Ubp1,Atpif1,Trim8,Kif1a,Lrrfip1,Slc50a1,1190005I06Rik,Ppp4r3a,Grk6,Srsf10
Flvcr1,Polr2m,Rock1,Dync1li1,Pofut2,Ppm1h,Ago2,Copb1,Pcgf6,Sppl2a,Tmem234,Fam131b,Cuedc2,Cox7a2,Oat
Rgs12,Emd,Rpl7,Kpna4,Usf2,Eloa,Rnd3,Psmd1,Orc6,Elf1,Sf3b5,Psmb2,Glrx5,Sugt1,Kdm7a
Rfx3,Cct8,Pon2,Psmd7,Cfl1,Znrf2,Sdc3,Nub1,Anapc5,Chmp2a,Ube2b,Pgbd5,Lrrc58,Ago2,Mrps18c
Plod2,Phip,Evi5,Rab7,Fuca1,Heatr5a,Cnih4,Ubr2,Zfp60,Ypel5,Ago2,Dact3,Qrich1,Sdf4,Bcl10
