Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Iqca,Rplp0,Vim,Apod,Clec4a2,Abi3,Rpl24,Rasl12,Cdh2,Nfkbid,Cd2,Klk6,Ddah1,Rpl29,Fxyd5
Cfap44,Fam129c,Edn1,Ppib,Emp1,Ubc,Malt1,Enpep,Kat6b,Plp2,Il18rap,Otud7b,Galnt13,Mndal,Gimap4
Lrrc51,Rpl3,Slfn5,Bicc1,Cxcr4,Plekho1,Tnfsf9,Ano1,Hnrnpa1,Fbxl5,Rpl7,Tma16,Sox6,H2-D1,Cd28
Spa17,Rps2,Slc39a10,Ccn1,Ctsz,Cebpa,Sub1,Dtx3,Prr7,Zyx,Rpl35a,Fam171b,Megf11,Stk17b,Gimap1
Dtna,Rps21,Nebl,Gja1,S100a6,Klf4,Rpl36a,Btbd3,Zfp57,Sell,Rpl21,Clmn,Ehd3,Cd69,Skap1
Mmd2,Plac8,Pcp4l1,Hs3st1,Igsf6,Srgap2,Rpl10,Gm13861,H3f3a,Snx10,Rpl18,Ttyh2,Itgav,Rpl10a,Btg1
Pbxip1,Myb,Dab2ip,Cebpd,Hp,Zfand5,S100a6,Uba2,Srrm4,Cd53,H2afz,Gpd1,Peg3,Runx3,Gm2682
Nudc,Gm10076,Xdh,Higd1a,Tlr2,Jmjd1c,Rnase6,Foxd1,Sdk2,Cd33,Malt1,Hepacam,Nell2,Klrc1,Dgka
Zcchc18,Cd37,Dock9,Ybx3,Cstb,Fos,Rpl7,Vcl,Cd24a,Klf10,Gimap9,Qk,Nlgn2,Tnfrsf18,Fam241a
Iqcg,Gm31243,Wwtr1,Rpl22l1,Stab1,Fosb,Il1r2,Colec12,Fabp5,Plekho2,Rpl41,Phlda3,Ntrk2,Il2rg,Cblb
1700088E04Rik,Uba52,Car4,Slc25a3,Plek,Bcl2a1b,Rps2,Fads3,Chd3,Snx20,Pdcd4,Wscd1,Ednrb,Itga4,Cd2
Rsph4a,Rps6,Uaca,Cp,Sh3bgrl3,Ogfrl1,H2-Oa,Kctd1,Hist1h1e,Fpr1,Ets1,Sgk3,Ptn,Ifng,Nsa2
Etnppl,Rpl6,Abhd2,Ptgs2,Tmem106a,Cyfip1,Itgb7,Mrvi1,Hdgfl3,Cpne2,Pfn1,Slain1,Meg3,Pdcd1,Gm12840
Fjx1,Cxcr4,Clic5,Nr2f2,Lst1,Man2b1,Rpl27,Tbx3os1,Elavl2,Iqsec1,Sh3bgrl3,Map7d2,Minar2,Bcl11b,Lck
Tspan3,Rhoh,Snrk,Vcam1,Akr1a1,Rel,Ifi205,Lama2,Sox2ot,Spata13,Uba52,Klf9,1700025G04Rik,H2-T22,Fam107b
Acsl6,Ptp4a3,Kank3,Pa2g4,Rpl35a,Ppp1r15a,Mkrn1,Pth1r,Cbx3,Mapkapk2,P2ry10,Kcnj10,Epn2,Gm8369,Grap2
Gm867,Rps25,Arhgap31,Man2a1,Tspo,Syngr1,Ifi207,Lmna,H2afv,H2-Q10,Rplp1,Myo6,Alcam,Stat4,S1pr1
Rsph9,Sub1,Parvb,Rock2,Ehd1,Tlr7,Rpl37,Plat,Rem2,Chil1,Styk1,Limch1,Gm26917,Grap2,H2-K1
Fhl1,Ly6e,Fas,Ndufa4,Clec4a3,Tm6sf1,Rps3,Sncg,Pafah1b3,Fgr,Rps20,B3galt5,Bex2,Rpl8,Trbc1
Nme5,Eif3f,Adamts9,Clic4,Myo5a,Rasgef1b,Rpl21,Atp1b2,3-Sep,Rabgef1,Rps29,Fa2h,Lrp1b,Psmb9,Itpkb
Tctex1d4,Cecr2,Tns1,Cpq,Fxyd5,Spi1,Myo1g,Itga1,Sez6,Rdh12,Dok2,Rnf7,Gm4876,Gimap5,4930523C07Rik
Ppp1r36,BE692007,Grrp1,Alcam,Spp1,Ptpn1,Plp2,Ptn,Dusp8,Txn1,Neurl3,Sv2a,Gm2a,Sh3bgrl3,Ablim1
Ttll3,Stap1,Heg1,Nxn,Soat1,Ctsc,Runx3,11-Sep,Foxp2,Glipr2,Rpl26,Arpc1a,Mmp15,Traf1,Hcst
Prelp,Arhgap15,Fmo2,Rps17,Grn,Gns,Vim,Prkg1,Snrpe,Rasa2,Anxa2,Clip3,Fut9,Ptprc,Cd69
Spag17,Bcl7a,Fzd4,Cdh5,Rpl41,Rgs2,Jaml,Ehd3,Basp1,Map3k8,Rps27a,Slc48a1,Tmem255a,Rpl41,Rpl31
Cfap45,Naca,Hes1,Itm2c,Atp6v0c,Mylip,Ryr1,Ecm2,Dlx5,Map1lc3b,S100a11,Prnp,F3,Klrk1,Bcl2
Efcab10,Rpl24,Clec2d,Serbp1,Sh3pxd2b,Serinc3,Rps13,Rock2,C130071C03Rik,Cd52,Il2rg,Bin1,Traf4,Rps2,Cd247
Gabrb1,Cmah,Lsr,Ndfip1,Ninj1,Scamp2,Emb,Marveld1,Runx1t1,Il18rap,Btg1,Aatk,Arglu1,Ifngr1,Gm20186
Cep126,Snrpg,Prss23,Tsc22d1,Anxa5,Serpine2,Anxa1,Slc6a17,Rian,Csf2ra,Gpr171,Pip4k2a,Csmd3,Pfn1,Limd2
Cetn4,Sell,Myo10,Leprot,Nme2,Ftl1,Mcub,Atp2b4,Pou3f3,Nfam1,Fcer1g,Stxbp3,Gpc5,Rps4x,Atp11b
Capsl,B3gnt5,Sash1,Cox5a,Stap1,Creg1,Clec12a,Col4a2,Dclk2,Sod2,Gm2682,Carhsp1,Elfn2,Uqcrh,Ifi27l2a
Arhgef26,Rpl36al,Robo4,mt-Cytb,Trim25,Ssh2,Cybb,Nr4a1,Mdk,Jdp2,Gimap1,Pacs2,Lrrc4c,Gimap6,Cox7a2l
Wwc1,Rpl4,Cavin1,Atp5b,Rpl35,Rab3il1,Rpl37a,Fermt2,Gpm6a,Themis2,Skap1,Fnbp1,Fchsd2,Cnn2,Frat2
Efcab1,Trp53i11,Prex2,Rwdd1,Arpc3,Irf5,Itgax,Stim1,Tceal9,Diaph1,Ctla2a,Pou3f1,Sesn3,Rpl3,Il2rg
Elmod1,Cd24a,Tjp1,Cct2,Snx2,Hpgd,Olfm1,Id3,Celf3,Trem3,Rpl12,Cadm4,Ppp2r2b,Ifi203,Gimap9
Naaa,Apobec3,Cd2ap,mt-Nd4l,AI662270,Eif4a1,Trerf1,Rarres2,Lrrc7,Sem1,Sub1,2810468N07Rik,Map2,Nr4a2,Rpl7a
2410004P03Rik,Dusp2,Fry,Anxa1,Txn1,Lrp1,Stap1,Hes1,Sumo2,Snap23,Itgal,Nap1l5,Cdh13,Rps12,Fam169b
